词语	强度	极性
感人	midsubj	positive
缪说	midsubj	negative
内讧	strongsubj	negative
烂污	strongsubj	negative
逆流	midsubj	negative
教条	midsubj	negative
揩油	midsubj	negative
剌戾	midsubj	negative
丰润	midsubj	positive
洞识	midsubj	positive
奋志	midsubj	positive
舛误	midsubj	negative
杰出	strongsubj	positive
贵客	midsubj	positive
博采	midsubj	positive
德政	strongsubj	positive
横逆	midsubj	negative
讹谬	strongsubj	negative
搀假	midsubj	negative
久客思归	midsubj	0
空洞无物	midsubj	negative
暗昧	midsubj	negative
师出无名	midsubj	negative
管中窥豹	strongsubj	negative
妖里妖气	midsubj	negative
高傲	midsubj	negative
丧德	strongsubj	negative
酒后之勇	midsubj	negative
虐待	strongsubj	negative
排挤	midsubj	negative
指桑骂槐	strongsubj	negative
抹杀	midsubj	negative
欺软怕硬	strongsubj	negative
漠然置之	midsubj	negative
泛滥	midsubj	negative
千虑一得	midsubj	positive
盲从	midsubj	negative
兼听则明，偏信则暗	midsubj	0
教学相长	midsubj	0
波澜老成	midsubj	positive
斐然成章	strongsubj	positive
金相玉质	midsubj	positive
浇瓜之惠	midsubj	positive
斩将搴旗	midsubj	positive
浴血奋战	strongsubj	positive
积雪囊萤	strongsubj	positive
欲速则不达	midsubj	0
映雪读书	strongsubj	positive
过犹不及	midsubj	negative
燃荻夜读	strongsubj	positive
拙口钝腮	midsubj	negative
不知薡蕫	midsubj	negative
以己度人	midsubj	negative
不栉进士	midsubj	positive
兴师动众	midsubj	negative
窈窕淑女	midsubj	positive
创业垂统	strongsubj	positive
河润泽及	midsubj	positive
一知半解	midsubj	negative
遮人耳目	midsubj	negative
谋及庶人	midsubj	positive
泣数行下	strongsubj	0
倚势凌人	strongsubj	negative
噫呜流涕	strongsubj	0
摄威擅势	strongsubj	negative
魁梧奇伟	strongsubj	positive
举一反三	midsubj	positive
高谈阔论	midsubj	negative
顺风使帆	midsubj	negative
大处着眼	midsubj	positive
豪奢放逸	midsubj	positive
以汤止沸	midsubj	negative
藏头露尾	midsubj	negative
万死一生	strongsubj	0
黄粱梦	midsubj	negative
粤犬吠雪	midsubj	negative
附赘悬疣	midsubj	negative
剑树刀山	strongsubj	0
稍胜一筹	midsubj	positive
弊端	midsubj	negative
觊觎	midsubj	negative
惩前毖后	midsubj	positive
扬清激浊	midsubj	positive
克尽厥职	strongsubj	positive
高才捷足	midsubj	positive
被猎人追赶的金鹿－慌里慌张	midsubj	0
没头没脑	midsubj	negative
醋坛子	midsubj	negative
落汤的螃蟹－手忙脚乱	midsubj	0
谤书	midsubj	negative
嗟悔无及	strongsubj	negative
忧心忡忡	strongsubj	0
惶惑	strongsubj	0
神经质	midsubj	negative
惟我独尊	strongsubj	negative
疲惫	midsubj	0
煽诱	midsubj	negative
棘手	midsubj	negative
愁苦	midsubj	0
左右为难	midsubj	0
阴郁	midsubj	0
惊恐	strongsubj	0
怯生生	midsubj	0
宿怨	strongsubj	0
狗仗人势	strongsubj	negative
冤仇	strongsubj	0
悲戚	strongsubj	0
凄恻	strongsubj	0
气冲斗牛	strongsubj	negative
肝火	midsubj	0
怒冲冲	strongsubj	0
骂不绝口	strongsubj	negative
高妙	midsubj	positive
活灵活现	strongsubj	positive
别致	midsubj	positive
曲尽其妙	strongsubj	positive
所向披靡	strongsubj	positive
惟妙惟肖	strongsubj	positive
名扬天下	strongsubj	positive
轻财重义	strongsubj	positive
河晏水清	midsubj	positive
灿烂夺目	strongsubj	positive
骁将	strongsubj	positive
杀富济贫	midsubj	0
秦镜高悬	midsubj	positive
雍容尔雅	strongsubj	positive
八面威风	strongsubj	positive
推襟送抱	strongsubj	positive
赤忱	midsubj	positive
豁达大度	strongsubj	positive
优异	strongsubj	positive
先进	midsubj	positive
孜孜不倦	strongsubj	positive
忘我	midsubj	positive
亭亭玉立	strongsubj	positive
千锤百炼	strongsubj	positive
旖旎	strongsubj	positive
积极	midsubj	positive
怀想	midsubj	0
全才	strongsubj	positive
想念	midsubj	0
归心似箭	strongsubj	0
喜乐	midsubj	0
拜领	midsubj	positive
必恭必敬	strongsubj	positive
威仪	strongsubj	positive
独尊	strongsubj	positive
娇纵	strongsubj	negative
吝惜	midsubj	negative
声情并茂	strongsubj	positive
哑巴拾黄金－说不出的快活	strongsubj	0
久旱逢甘霖	strongsubj	0
三阳开泰	strongsubj	positive
输理	midsubj	negative
确实可靠	midsubj	0
有条理	midsubj	positive
入画	midsubj	positive
踏踏实实	midsubj	positive
精选	midsubj	positive
津津乐道	strongsubj	positive
娇媚	midsubj	positive
满意	midsubj	positive
小有名气	strongsubj	positive
懂礼	midsubj	positive
难以沟通	midsubj	negative
甘醇	midsubj	positive
清贫	weaksubj	0
公平正直	midsubj	positive
手脚麻利	midsubj	positive
毫无错误	midsubj	positive
渣滓	midsubj	negative
清美	midsubj	0
稳练	midsubj	positive
婉娈	midsubj	positive
雄俊	midsubj	positive
秀挺	midsubj	positive
雄文	midsubj	positive
轩昂	strongsubj	positive
英华	strongsubj	positive
勋业	strongsubj	positive
英姿	strongsubj	positive
铮铮铁骨	strongsubj	positive
玉液	midsubj	positive
袅袅婷婷	midsubj	positive
漫无目的	midsubj	0
真迹	midsubj	positive
晋级	weaksubj	positive
宝藏	midsubj	positive
警辟	midsubj	positive
死里逃生	strongsubj	0
有纪律	midsubj	positive
敬意	midsubj	positive
酸不溜丢	midsubj	negative
秩然不紊	midsubj	positive
歪歪扭扭	midsubj	negative
大大咧咧	midsubj	negative
娴淑	midsubj	positive
芊芊	midsubj	positive
悲悯	strongsubj	0
愁容满面	strongsubj	0
诧愕	strongsubj	0
愤愤然	midsubj	0
祭扫	weaksubj	0
怔住	midsubj	0
治罪	midsubj	0
清湛	midsubj	positive
轻软	weaksubj	positive
火尽灰冷	midsubj	0
优惠	weaksubj	0
娱乐	weaksubj	0
剪彩	weaksubj	0
痴恋	strongsubj	0
至亲	strongsubj	0
尽力	weaksubj	0
净心	weaksubj	0
若有所失	strongsubj	0
能者为师	midsubj	0
真真实实	midsubj	positive
灰头土脸	midsubj	0
骇愕	strongsubj	0
凄怨	strongsubj	0
闹脾气	weaksubj	0
瞧不上眼	midsubj	0
玩世不恭	strongsubj	negative
精神不振	midsubj	negative
泥沙俱下	strongsubj	0
脾气暴	midsubj	negative
峭直	midsubj	positive
体态轻盈	strongsubj	positive
各得其所	weaksubj	positive
熟练	midsubj	positive
省时	midsubj	positive
明窗净几	midsubj	positive
高兴	midsubj	0
舒畅	midsubj	0
顺心	midsubj	0
乐于	midsubj	0
欢欢喜喜	midsubj	0
庆祝	midsubj	0
愉快	midsubj	0
如获至宝	strongsubj	0
深爱	strongsubj	0
抚爱	midsubj	0
延颈鹤望	midsubj	0
相安无事	midsubj	0
贴切	weaksubj	positive
迅速	midsubj	0
旁观者清	midsubj	0
群言堂	midsubj	0
深远	midsubj	positive
周详	midsubj	positive
出气	midsubj	0
"仇人相见,分外眼红"	strongsubj	0
短命	midsubj	0
恨入骨髓	strongsubj	0
血海深仇	strongsubj	0
切齿痛恨	strongsubj	0
沉闷	strongsubj	0
空虚	midsubj	0
懊恼	midsubj	0
复杂	weaksubj	0
愁绪如麻	midsubj	0
坐愁行叹	midsubj	0
扫地以尽	midsubj	0
熬煎	midsubj	0
娇羞	midsubj	positive
火烧火燎	strongsubj	0
手足失措	strongsubj	0
仓卒之际	weaksubj	0
积重难返	strongsubj	negative
充斥	weaksubj	0
燕巢幕上	midsubj	0
行百里者半九十	midsubj	0
螳螂捕蝉，黄雀在后	weaksubj	0
经纬万端	strongsubj	0
安闲自得	weaksubj	0
后继乏人	midsubj	0
名高难副	midsubj	negative
豁然开朗	midsubj	0
皮里春秋	weaksubj	0
恍然大悟	midsubj	0
水火无情	midsubj	0
裘敝金尽	weaksubj	0
食藿悬鹑	weaksubj	0
达官贵人	weaksubj	0
以逸代劳	weaksubj	0
桑榆之光，礼无远照	weaksubj	0
两瞽相扶	weaksubj	0
眉来语去	midsubj	0
长驱直入	weaksubj	0
后发制人	weaksubj	0
教学相长	midsubj	0
晕倒	midsubj	0
疯了	midsubj	0
破旧	weaksubj	0
败将	midsubj	negative
心安	midsubj	0
罕见	midsubj	0
堆砌	weaksubj	0
打先锋	midsubj	positive
恭请	midsubj	0
完好无损	strongsubj	positive
魂不附体	strongsubj	0
凑合	midsubj	0
鲜明	weaksubj	0
惨淡	midsubj	0
取长补短	midsubj	0
力争上游	strongsubj	positive
目不斜视	strongsubj	positive
言过其实	midsubj	negative
凹凸不平	weaksubj	0
无所畏惧	strongsubj	positive
手头紧	strongsubj	0
无助	strongsubj	0
不为人知	weaksubj	0
不易	weaksubj	0
找茬	midsubj	0
揭不开锅	strongsubj	0
辩证	weaksubj	0
不费力	weaksubj	positive
冷冷	weaksubj	negative
零丁	weaksubj	0
崎岖不平	weaksubj	0
实心眼儿	midsubj	positive
既往不咎	weaksubj	0
神往	strongsubj	positive
从容应对	strongsubj	positive
排除万难	strongsubj	0
崎岖	weaksubj	0
扶植	weaksubj	0
别无长物	weaksubj	0
投降	weaksubj	0
鹑衣百结	midsubj	0
呼幺喝六	midsubj	0
背后	weaksubj	0
落网	midsubj	0
消沉	midsubj	0
规整	midsubj	positive
恩情	weaksubj	0
动容	midsubj	0
不容置喙	strongsubj	negative
冠鸡佩猳	weaksubj	0
聊胜于无	weaksubj	0
成全	midsubj	0
瞧不起	midsubj	0
看不起	midsubj	0
相判云泥	strongsubj	0
心照不宣	midsubj	0
查无实据	weaksubj	0
天下为家	weaksubj	0
两姓之好	midsubj	0
皮开肉绽	midsubj	0
一命呜呼	weaksubj	0
祸起肘腋之间	weaksubj	0
落草为寇	weaksubj	0
路遥知马力，日久见人心	strongsubj	positive
长乐未央	strongsubj	positive
宰割	strongsubj	negative
怒叱	midsubj	0
恼恨	strongsubj	0
侮蔑	strongsubj	negative
居心叵测	midsubj	negative
一着不慎，满盘皆输	weaksubj	negative
漫天要价	midsubj	negative
聚敛无厌	strongsubj	negative
偏私	weaksubj	negative
过分	weaksubj	negative
争嘴	weaksubj	negative
叱问	weaksubj	negative
呵斥	weaksubj	negative
劳役	midsubj	negative
口舌	weaksubj	negative
涩苦	weaksubj	negative
招致不幸	strongsubj	negative
悲喜交集	midsubj	0
沮丧	weaksubj	0
昙花一现	weaksubj	negative
自相鱼肉	strongsubj	negative
不毛之地	midsubj	negative
才高运蹇	midsubj	negative
被发左衽	weaksubj	0
衰萎	midsubj	negative
抑郁	strongsubj	0
荒寂	strongsubj	negative
绑匪	midsubj	negative
饿殍枕藉	midsubj	0
凶横	weaksubj	negative
严苛	weaksubj	negative
骇怪	strongsubj	0
妖魔	midsubj	negative
咒骂	strongsubj	negative
罪愆	strongsubj	negative
唯命是听	strongsubj	negative
铁公鸡一毛不拔	strongsubj	negative
偷偷	strongsubj	negative
委靡不振	strongsubj	negative
不仁不义	strongsubj	negative
有一套	strongsubj	negative
吆三喝四	strongsubj	negative
刁赖	strongsubj	negative
腐臭	strongsubj	negative
假仁假义	strongsubj	negative
尖嘴猴腮	strongsubj	negative
拿腔拿调	strongsubj	negative
煮豆燃萁	strongsubj	negative
肉了叭叽	strongsubj	0
老谋深算	midsubj	negative
脏乱差	strongsubj	negative
恩断义绝	strongsubj	negative
重足而立，侧目而视	weaksubj	0
悻悻	midsubj	0
穷奢极欲	strongsubj	negative
下流	strongsubj	negative
怨悔	midsubj	0
苛捐杂税	strongsubj	negative
心怀鬼胎	strongsubj	negative
欺人自欺	strongsubj	negative
贪官蠹役	strongsubj	negative
市井之徒	strongsubj	negative
贪生怕死	strongsubj	negative
轻诺寡信	strongsubj	negative
左右逢源	weaksubj	positive
肠肥脑满	midsubj	negative
嫌贫爱富	midsubj	negative
造谤生事	midsubj	negative
忍心害理	strongsubj	negative
杀人如蓺	strongsubj	negative
求全之毁	weaksubj	negative
临阵脱逃	midsubj	negative
望风而逃	midsubj	negative
惹事招非	strongsubj	negative
作奸犯科	strongsubj	negative
洗垢球瘢	strongsubj	negative
三头两面	weaksubj	negative
斗鸡走狗	midsubj	negative
城狐社鼠	midsubj	negative
百般奉承	weaksubj	negative
迷昏汤	midsubj	negative
貌似公正	midsubj	negative
见钱眼开	strongsubj	negative
贪夫殉财	strongsubj	negative
诛求无厌	strongsubj	negative
狡滑	weaksubj	negative
挑衅	midsubj	negative
心毒	strongsubj	negative
倚老卖老	midsubj	negative
褊狭	strongsubj	negative
油嘴	midsubj	negative
粗制滥造	midsubj	negative
言而无信	strongsubj	negative
阿谀	strongsubj	negative
养痈贻患	weaksubj	negative
蒙混	weaksubj	negative
撒刁	midsubj	negative
辱没	midsubj	negative
无钱吃酒，妒人面赤	midsubj	negative
不值一哂	midsubj	negative
专制	midsubj	negative
垂涎三尺	strongsubj	negative
贪婪无厌	strongsubj	negative
孬种	strongsubj	negative
奸宄	strongsubj	negative
花花公子	midsubj	negative
荒淫无耻	strongsubj	negative
狡辩	midsubj	negative
尔诈我虞	weaksubj	negative
耍手段	weaksubj	negative
投其所好	weaksubj	negative
千夫所指	strongsubj	negative
扒皮	weaksubj	negative
背叛	midsubj	negative
敝屣	weaksubj	negative
狡猾	midsubj	negative
扬扬自得	weaksubj	negative
扯白	weaksubj	negative
称大	weaksubj	negative
侈糜	strongsubj	negative
丑行	midsubj	negative
穿凿	weaksubj	negative
粗浮	strongsubj	negative
催迫	midsubj	negative
恫吓	weaksubj	negative
毒计	strongsubj	negative
犯贱	strongsubj	negative
放恣	midsubj	negative
非礼	midsubj	negative
匪穴	midsubj	negative
姑宽	midsubj	negative
官气	midsubj	negative
胡扯	weaksubj	negative
花腔	weaksubj	negative
贿选	weaksubj	negative
坑蒙	weaksubj	negative
劣迹	midsubj	negative
卖友	midsubj	negative
冒渎	weaksubj	negative
灭口	midsubj	negative
谋陷	midsubj	negative
奴役	strongsubj	negative
扒手	strongsubj	negative
入侵	weaksubj	negative
贪生	midsubj	negative
外祸	midsubj	negative
吸毒	midsubj	negative
嫌憎	midsubj	negative
遭难	midsubj	negative
争宠	midsubj	negative
阻塞	midsubj	negative
含混不清	midsubj	negative
黑洞洞	weaksubj	negative
絮叨	strongsubj	negative
令人不安	strongsubj	negative
乱腾腾	midsubj	negative
上火	weaksubj	0
伤怀	weaksubj	0
苦水	weaksubj	0
长吁短叹	weaksubj	0
多愁善感	weaksubj	negative
覆盆之冤	strongsubj	0
聒耳	weaksubj	negative
忧思	weaksubj	0
只鸾单凤	midsubj	0
埋怨	midsubj	negative
怨言	weaksubj	negative
笨重	weaksubj	negative
炎热	weaksubj	0
磨磨蹭蹭	weaksubj	negative
打岔	weaksubj	negative
唠叨	weaksubj	negative
掉价	weaksubj	negative
烦冗	weaksubj	negative
迷途	weaksubj	negative
乞怜	midsubj	0
拖累	midsubj	negative
怨偶	midsubj	negative
愧汗	midsubj	0
犯急	midsubj	negative
惊惧	weaksubj	0
丧胆	midsubj	0
日坐愁城	weaksubj	negative
窘促	midsubj	0
做贼心虚	weaksubj	0
叹惋	weaksubj	0
罗掘俱穷	strongsubj	negative
玉石俱焚	weaksubj	negative
力不从心	weaksubj	negative
倒戈卸甲	strongsubj	negative
树倒猢狲散	midsubj	0
徒劳	midsubj	negative
无理取闹	strongsubj	negative
不假思索	weaksubj	0
臆测	midsubj	negative
诅咒	strongsubj	negative
低声下气	strongsubj	0
不容置辩	midsubj	positive
不厌其详	weaksubj	positive
迷离倘恍	weaksubj	0
前程似锦	strongsubj	0
窃位素餐	strongsubj	negative
鱼烂而亡	strongsubj	0
洋洋自得	midsubj	0
哄堂	weaksubj	0
胖乎乎	weaksubj	0
卑鄙无耻	strongsubj	negative
利欲熏心	midsubj	negative
论调	weaksubj	negative
朋比为奸	midsubj	negative
欺侮	midsubj	negative
诬告	midsubj	negative
罪行	midsubj	negative
寄生虫	weaksubj	negative
二奶	weaksubj	negative
冷嘲热讽	weaksubj	negative
谬种	strongsubj	negative
贱骨头	strongsubj	negative
低贱	midsubj	negative
碍眼	midsubj	negative
死气沉沉	midsubj	negative
溽暑	weaksubj	negative
一场春梦	weaksubj	0
邪魔外道	midsubj	negative
嘘枯吹生	weaksubj	positive
桀犬吠尧	strongsubj	negative
费尽心机	weaksubj	negative
一蹶不振	strongsubj	negative
阴魂不散	strongsubj	negative
狐疑未决	weaksubj	negative
笑面夜叉	midsubj	negative
妖言惑众	strongsubj	negative
一手包办	midsubj	negative
张眉努眼	midsubj	negative
飞黄腾达	midsubj	3
刨根问底	weaksubj	3
谄上欺下	midsubj	negative
消磨岁月	weaksubj	0
弃甲曳兵	weaksubj	negative
牛头马面	strongsubj	negative
穿窬之盗	strongsubj	negative
血流漂杵	midsubj	negative
娼妓	midsubj	negative
窜扰	midsubj	negative
盗寇	strongsubj	negative
得计	weaksubj	negative
独夫	midsubj	negative
恶名	midsubj	negative
贩黄	weaksubj	negative
勾连	weaksubj	negative
拐卖	midsubj	negative
裹乱	midsubj	negative
海匪	weaksubj	negative
黑钱	weaksubj	negative
禁锢	weaksubj	negative
狂吠	midsubj	negative
累赘	midsubj	negative
流言	weaksubj	negative
娄子	midsubj	negative
掳掠	midsubj	negative
乱套	midsubj	negative
伤神	midsubj	negative
添乱	midsubj	negative
凶手	midsubj	negative
怨府	midsubj	negative
无赖	strongsubj	negative
无赖	strongsubj	negative
热劲	midsubj	positive
荣升	midsubj	positive
胜境	midsubj	positive
奖台	weaksubj	positive
姣翠	midsubj	positive
洁净	midsubj	positive
解扣儿	weaksubj	positive
致谢	weaksubj	positive
奏效	midsubj	positive
优美动听	strongsubj	positive
学而不厌	strongsubj	positive
旋律优美	strongsubj	positive
香醇	strongsubj	positive
痛痛快快	strongsubj	positive
成果	weaksubj	positive
喜闻乐见	midsubj	positive
乐天知命	weaksubj	positive
安闲	weaksubj	0
转危为安	strongsubj	positive
轻徭薄赋	strongsubj	positive
文武之道，一张一弛	weaksubj	positive
士饱马腾	strongsubj	positive
苦尽甘来	midsubj	positive
水木清华	strongsubj	positive
称贺	weaksubj	positive
荡漾	weaksubj	0
斗妍	weaksubj	positive
飞跃	weaksubj	positive
甘霖	midsubj	positive
贺电	weaksubj	positive
鸿运	midsubj	positive
积善	strongsubj	positive
投合	midsubj	positive
即兴	midsubj	positive
佳美	strongsubj	positive
佳作	strongsubj	positive
娇娘	midsubj	positive
长亲	weaksubj	positive
精品	strongsubj	positive
晶亮	midsubj	positive
整齐划一	strongsubj	positive
有韧劲	strongsubj	positive
心灵手巧	strongsubj	positive
有滋有味	strongsubj	positive
引人瞩目	strongsubj	positive
璨然	weaksubj	positive
葱茏	weaksubj	positive
富丽堂皇	weaksubj	positive
干干净净	weaksubj	positive
光芒万丈	weaksubj	positive
和和睦睦	weaksubj	positive
红红火火	weaksubj	positive
奇巧	strongsubj	positive
浓丽	weaksubj	positive
清香	weaksubj	positive
喜笑颜开	midsubj	positive
对床夜雨	weaksubj	positive
凉丝丝	weaksubj	positive
爽口	weaksubj	positive
感谢	weaksubj	positive
入眼	weaksubj	positive
瑞兽珍禽	midsubj	positive
珠玉在侧	weaksubj	positive
平头正脸	weaksubj	positive
同甘共苦	midsubj	positive
养生送死	midsubj	positive
我顶顶顶	strongsubj	positive
_ding	strongsubj	positive
别趣	weaksubj	positive
敞阔	weaksubj	positive
春意	weaksubj	0
脆亮	weaksubj	positive
搭手	weaksubj	positive
都丽	midsubj	positive
朵颐	midsubj	0
芳龄	weaksubj	positive
高招	strongsubj	positive
歌吟	weaksubj	positive
广求	weaksubj	0
慧心	strongsubj	positive
活现	midsubj	positive
机谋	strongsubj	positive
青郁	weaksubj	positive
珍馐	midsubj	positive
不同寻常	weaksubj	0
胆颤心惊	strongsubj	0
惊险	midsubj	0
奇珍异宝	strongsubj	positive
出其不意	midsubj	positive
望风捕影	weaksubj	negative
泰斗	strongsubj	positive
奖誉	strongsubj	positive
金言	midsubj	positive
巨匠	strongsubj	positive
捐献	weaksubj	positive
有眼光	strongsubj	positive
神工鬼斧	midsubj	positive
治乱存亡	strongsubj	positive
龟鹤遐龄	weaksubj	positive
福寿绵长	weaksubj	positive
长命富贵	weaksubj	positive
可歌可泣	strongsubj	positive
勇士	weaksubj	positive
乡贤	midsubj	positive
更无长物	strongsubj	positive
忘身忘家	strongsubj	positive
舍生取义	strongsubj	positive
仁人君子	strongsubj	positive
才高行洁	strongsubj	positive
老师宿儒	midsubj	positive
骨鲠之臣	strongsubj	positive
不畏强暴	strongsubj	positive
敢勇当先	midsubj	positive
松柏后凋	strongsubj	positive
敬老慈幼	midsubj	positive
不矜不伐	weaksubj	positive
PFPF	strongsubj	positive
成仁	strongsubj	positive
宏旨	strongsubj	positive
厚遇	midsubj	positive
安安静静	weaksubj	positive
安常守分	strongsubj	positive
民为邦国	weaksubj	positive
一轨同风	strongsubj	positive
为国之哭	strongsubj	positive
捐躯报国	strongsubj	positive
徇公灭私	strongsubj	positive
于家为国	strongsubj	positive
精兵简政	strongsubj	positive
顺从	weaksubj	0
安谧	weaksubj	positive
平平稳稳	weaksubj	positive
休明盛世	strongsubj	positive
春风化雨	weaksubj	positive
解颜而笑	midsubj	0
酣适	weaksubj	positive
和解	weaksubj	positive
涣然	weaksubj	positive
吉时	strongsubj	positive
不忘久要	weaksubj	0
华年	midsubj	positive
遵从	weaksubj	positive
忠信	midsubj	positive
铁杆儿	strongsubj	positive
遵命	weaksubj	positive
伏贴	weaksubj	positive
君子一言	strongsubj	positive
珍本	weaksubj	positive
九鼎	midsubj	positive
楚楚动人	midsubj	positive
波光粼粼	weaksubj	positive
可叹	weaksubj	0
春色满园	weaksubj	positive
芬香	weaksubj	positive
自相矛盾	strongsubj	negative
懵懵懂懂	strongsubj	negative
古香古色	weaksubj	positive
晶莹剔透	weaksubj	positive
如饮醍醐	strongsubj	positive
情趣	weaksubj	0
自爱	weaksubj	0
万古长青	strongsubj	positive
稳定性	midsubj	positive
童叟无欺	midsubj	positive
可人	midsubj	positive
杂七杂八	midsubj	negative
衣钵相传	midsubj	0
处尊居显	strongsubj	0
无所畏忌	midsubj	positive
红情绿意	midsubj	positive
五光十色	midsubj	positive
泰山北斗	strongsubj	positive
娇小玲珑	midsubj	positive
先意承志	midsubj	negative
怒蛙可式	strongsubj	positive
酷毙了	strongsubj	positive
苍翠	weaksubj	positive
畅旺	midsubj	0
国魂	weaksubj	positive
多彩	weaksubj	positive
繁蔚	weaksubj	positive
风韵	midsubj	positive
供献	weaksubj	positive
老朽	weaksubj	0
充实	weaksubj	0
排场	weaksubj	0
随心所欲	midsubj	0
意气	midsubj	negative
漠漠	midsubj	0
仰望	weaksubj	positive
落花流水	weaksubj	negative
讲究	strongsubj	positive
确实	midsubj	positive
折磨	midsubj	negative
水中捞月	midsubj	0
辣手	strongsubj	negative
不是味儿	weaksubj	0
亡命	strongsubj	negative
得力	midsubj	positive
澄清	weaksubj	0
长者	strongsubj	positive
面黄肌瘦	weaksubj	0
动魄惊心	weaksubj	positive
别别扭扭	midsubj	negative
生机勃勃	midsubj	positive
熙来攘往	weaksubj	positive
赏心悦目	midsubj	positive
顺口	weaksubj	negative
惨绝人寰	weaksubj	negative
与世无争	midsubj	0
别扭	strongsubj	0
佳人	strongsubj	positive
洋洋	strongsubj	positive
垂头丧气	midsubj	0
生机勃勃	weaksubj	positive
七上八下	strongsubj	0
动人	midsubj	positive
数米而炊	midsubj	negative
左袒	weaksubj	negative
不平	midsubj	0
漆黑一团	weaksubj	0
澄清	weaksubj	positive
造就	strongsubj	positive
真正	weaksubj	positive
明快	weaksubj	positive
伪装	weaksubj	0
轻飘	midsubj	negative
辣手	strongsubj	0
天昏地暗	weaksubj	negative
掣肘	midsubj	negative
不济事	strongsubj	negative
随心所欲	weaksubj	negative
超脱	strongsubj	positive
深情	strongsubj	positive
丢人	strongsubj	negative
粗犷	weaksubj	negative
夫子	strongsubj	0
清爽	strongsubj	positive
好笑	midsubj	0
解决	weaksubj	0
恹恹	weaksubj	0
谢忱	midsubj	positive
谢帖	midsubj	0
邂逅	midsubj	0
心软	midsubj	0
欣悉	midsubj	0
新郎	midsubj	0
信步	midsubj	0
兴叹	midsubj	0
行贿	midsubj	negative
幸臣	midsubj	negative
虚空	midsubj	0
絮絮	midsubj	negative
荩臣	strongsubj	positive
精神	strongsubj	positive
寂然	midsubj	0
嘉酿	midsubj	positive
匠心	strongsubj	positive
正梁	strongsubj	positive
狐群狗党	midsubj	negative
国色天香	strongsubj	positive
一笑干金	strongsubj	positive
形迹可疑	midsubj	0
驿使梅花	midsubj	positive
意马心猿	midsubj	negative
因公假私	midsubj	negative
音信杳无	midsubj	0
淫心匿行	midsubj	negative
引日成岁	midsubj	0
引商刻羽	weaksubj	positive
饮冰内热	strongsubj	0
饮胆尝血	midsubj	positive
莺吟燕儛	midsubj	0
鹰击毛挚	midsubj	negative
营私罔利	midsubj	negative
郢中白雪	midsubj	positive
应机立断	midsubj	positive
雍容大雅	midsubj	positive
优游自得	midsubj	0
悠哉游哉	midsubj	0
游刃有馀	midsubj	positive
游戏三昧	weaksubj	positive
有志无时	weaksubj	0
有气没力	midsubj	negative
有嘴没舌	midsubj	0
诱秦诓楚	midsubj	negative
予取予携	midsubj	negative
余霞散绮	strongsubj	positive
鱼水相投	strongsubj	positive
鱼游釜内	strongsubj	0
鱼龙曼延	strongsubj	negative
鱼惊鸟散	strongsubj	negative
逾墙窥蠙	strongsubj	negative
榆瞑豆重	strongsubj	negative
与物无忤	strongsubj	positive
雨歇云收	midsubj	0
语近词冗	midsubj	negative
语简意赅	strongsubj	positive
玉液金波	midsubj	0
玉惨花愁	midsubj	0
玉箫金琯	strongsubj	positive
遇水叠桥	midsubj	positive
鬻鸡为凤	midsubj	negative
渊清玉絜	strongsubj	positive
元恶大奸	strongsubj	negative
托庇	midsubj	negative
拖后腿	strongsubj	negative
妥善	midsubj	0
玩狎	strongsubj	negative
王八	strongsubj	negative
威风	midsubj	positive
为难	midsubj	negative
陪了夫人又折兵	strongsubj	negative
面墙而立	midsubj	negative
绵力薄材	midsubj	negative
梧鼠五技	weaksubj	negative
翻来覆去	midsubj	negative
隔墙有耳	weaksubj	negative
狠吞虎咽	weaksubj	negative
风驰电掣	midsubj	positive
大步流星	weaksubj	positive
兵来将当，水来土掩	midsubj	positive
因人成事	midsubj	positive
擎肌分理	weaksubj	positive
原始要终	weaksubj	positive
系风捕影	midsubj	negative
知被知己	weaksubj	positive
十步九回头	strongsubj	negative
趑趄不前	midsubj	negative
依样画葫芦	midsubj	negative
箪食壶浆	midsubj	positive
事不关己，高高挂起	weaksubj	negative
撮盐入火	midsubj	negative
不置褒贬	weaksubj	negative
不露声色	weaksubj	positive
置之度外	strongsubj	positive
喏喏连声	midsubj	negative
闭门羹	midsubj	negative
包羞忍耻	midsubj	positive
不见棺材不落泪	midsubj	negative
硁砭之愚	midsubj	negative
争先恐后	midsubj	positive
驷不及舌	midsubj	positive
驷马难追	strongsubj	0
松乔之寿	strongsubj	positive
送去迎来	weaksubj	negative
送旧迎新	midsubj	negative
搜肠润吻	strongsubj	positive
夙夜匪解	strongsubj	positive
隋珠和璧	strongsubj	positive
随行逐队	weaksubj	0
随波逐浪	strongsubj	negative
随时施宜	strongsubj	positive
随圆就方	strongsubj	positive
岁寒三友	midsubj	positive
遂迷忘反	strongsubj	negative
碎骨粉身	strongsubj	0
损上益下	strongsubj	negative
踏故習常	strongsubj	negative
汰劣留良	strongsubj	negative
贪功起釁	strongsubj	negative
贪位慕禄	strongsubj	negative
谈天说地	strongsubj	positive
谈笑自如	strongsubj	positive
谭言微中	strongsubj	positive
探汤蹈火	strongsubj	positive
汤去三面	strongsubj	positive
滔滔不竭	strongsubj	positive
饕口馋舌	midsubj	negative
桃李之馈	midsubj	negative
桃李精神	strongsubj	positive
陶情適性	midsubj	positive
